,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,
,A,1,2,,1,(0),,,,,,special team,64,F + 12,49,OFF 15,TD,BK -11,10,,-4,1,1,1,,,
,,2,2,,1,(0),,,,-11,,,58,22,OFF 10,6,6,21,11,,1,1,1,1,,,
,,3,1,(1),1,,,,-(7),(10),(9),,OB,F + 12,23*,-1,OFF 15,20,12,,1,1,1,1,,,
,Standard,4,6,7,,,(0),,-10,-20,-10,,57,61,60,,12,DEF 5, 13,,1,1,1,1,,,
,,5,,,2,,(-1),(0),INT 10,INT 27,(1),,53,21,46,OFF 15,26,19,14,,1,1,1,1,,,
,B,1,(0),(0),1,(1),2,3,,,,,60,OFF 15,43,2,24,25,15,,1,1,1,1,,,
,,2,(1),(0),1,,,,(12),,,,75,54,DEF 5,1,10,16,16,,1,1,1,1,,,
,,3,(1),(0),1,,2,3,(13),,,,52,10,26*,,,25,17,,1,1,1,1,,,
,Short Ydg,4,,,,,INT -1,-5,-10,-20,-10,,58,41,36,3,,29,18,,1,1,1,1,,,
,,5,,,-11,,(-2),,(3),20,(1),,57,39,31,11,2,25,19,,1,1,1,1,,,
,C,1,2,,(0),(10),,,,(10),,,59,F + 12,22*,10,6,23,20,,1,1,1,1,,,
,,2,2,,(0),1,,,,-11,,,75,23,51,F,DEF 15,25,21,,1,1,1,1,,,
,,3,1,(1),(0),2,,,(6),,(3),,OB,25,DEF 5X,-1,29,18,22,,1,1,1,1,,,
,Spread,4,,,,,-5,-5,-10,20,-10,,64,16,47,OFF 15,24,17,23,,1,1,1,1,,,
,,5,,,,,(-4),(0),(5),INT 37,INT 13,,74,14,40,5,70,35,24,,1,1,1,1,,,
,D,1,1,,2,5,,,,(10),,,61,15,39,12,31,16,25,,1,1,1,1,,,
,,2,1,,2,1,,,,,(2),,69,20,42,30,26,DEF 5X,26,,1,1,1,1,,,
,,3,1,,1,2,,,,-11,,,67,12,33,8,OFF 15,32,27,,1,1,1,1,,,
,Short Pass,4,,16,,,,-5,10,-20,-10,,72,52,30,15,F,22,28,,1,1,1,1,,,
,,5,,,(4),,-5,(0),(5),INT 29,INT 5,,64,35,32,16,,30,29,,1,1,1,1,,,
,E,1,(1),,1,(6),,-1,,,,,66,19,45,11,22,24,30,,1,1,1,1,,,
,,2,2,,1,1,,,,,,,70,OFF 15,56,8,25,OFF 5,31,,1,1,1,1,,,
,,3,1,,(1),2,,,,-11,(2),,71,32,34,13,3,34,32,,1,1,1,1,,,
,Long Pass,4,,,,,-1,,-10,-20,-10,,62,11,OFF 5,OFF 15,,26,33,,1,1,1,1,,,
,,5,,,,,,(2),INT 16,INT 44,INT 21,,65,17,37,,15,33,34,,1,1,1,1,,,
,F,1,,(-2),,,3,2,,QT,,,75,OFF 15,38,,,16,35,,1,1,1,1,,,
,,2,,,1,3,3,2,,,,,63,28,41,9,20,35,36,,1,1,1,1,,,
,,3,(2),,(-3),13,QT,QT,QT,-11,QT,,73,27,53,10,27,17,37,,1,1,1,1,,,
,Blitz,4,(4),,,1,20,,,QT,(15),,68,18,35,16,OFF 15,BK -12,38,,-4,1,1,1,,,
,,5,(10),,-11,,20,INT 9,(5),(10),INT 13,,57,30,44,13,12,OFF 10,39,,1,1,1,1,,,
,"Record: 8-8-0, Finished 3rd in NFC West Division... W 28-17 vs St. Louis Cardinals; L 30-27 at Los Angeles Rams; W 34-31 vs Chicago Bears (OT); L 21-20 at Dallas Cowboys; W 17-7 vs Miami Dolphins; W 19-17 at Atlanta Falcons;L 32-13 vs San Francisco 49ers; W 24-21 at Tampa Bay Buccaneers; L 27-21 at Buffalo Bills; W 27-10 vs Atlanta Falcons; L 27-0 at San Francisco 49ers; L 31-28 vs New York Jets; W 17-16 vs Minnesota Vikings; L 7-0 at New England Patriots; W 20-17 at Philadelphia Eagles (OT); L 26-24 vs Los Angeles Rams.  
",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,4%,,,,,,,,,216
,,,,,,,,,,,,,"1+1,2,3,4",,,,,85%,,,,,,,,10,2
,,,,,,,,,,,,,"5+1,2,3,4",,,,,85%,,,,,,,,11,3
,,,,,,,,,,,,,"10+2,3,4",,,,,85%,,,,,,,,12,4
,,,,,,,,,,,,,"15+3,4",,,,,85%,,,,,,,,13,5
,,,,,,,,,,,,,"20+3,4",,,,,54%,,,,,,,,14,6
,,,,,,,,,,,,,"25+3,4",,,,,44%,,,,,,,,15,6
,,,,,,,,,,,,,30+4,,,,,29%,,,,,,,,16,4
,,,,,,,,,,,,,35+4,,,,,11%,,,,,,,,17,3
