#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,2,,1,(0),,,,BLACK,
A-2,A,2,2,,1,(0),BLACK,,BLACK,-11,
A-3,A,3,1,(1),1,,,BLACK,(-7),(10),(9)
A-4,A,4,6,7,,,(0),,-10,-20,-10
A-5,A,5,,,2,,(-1),(0),INT 10,INT 27,(1)
B-1,B,1,(0),(0),1,(1),2,3,,,
B-2,B,2,(1),(0),1,,BLACK,BLACK,(12),,
B-3,B,3,(1),(0),1,,2,3,(13),,
B-4,B,4,,,,,INT -1,-5,-10,-20,-10
B-5,B,5,,,-11,,(-2),,(3),20,(1)
C-1,C,1,2,,(0),(10),,,,(10),
C-2,C,2,2,,(0),1,BLACK,,BLACK,-11,
C-3,C,3,1,(1),(0),2,,,(6),BLACK,(3)
C-4,C,4,,,,,-5,-5,-10,20,-10
C-5,C,5,,,,,(-4),(0),(5),INT 37,INT 13
D-1,D,1,1,,2,5,,,BLACK,(10),
D-2,D,2,1,,2,1,,,BLACK,BLACK,(2)
D-3,D,3,1,,1,2,BLACK,BLACK,,-11,BLACK
D-4,D,4,,16,,,,-5,10,-20,-10
D-5,D,5,,,(4),,-5,(0),(5),INT 29,INT 5
E-1,E,1,(1),,1,(6),,-1,,BLACK,
E-2,E,2,2,,1,1,,,,BLACK,
E-3,E,3,1,,(1),2,,,BLACK,-11,(2)
E-4,E,4,,,,,-1,,-10,-20,-10
E-5,E,5,,,,,,(2),INT 16,INT 44,INT 21
F-1,F,1,,(-2),,,3,2,,QT,
F-2,F,2,,,1,3,3,2,,BLACK,
F-3,F,3,(2),,(-3),13,QT,QT,QT,-11,QT
F-4,F,4,(4),,,1,20,,,QT,(15)
F-5,F,5,(10),,-11,,20,INT 9,(5),(10),INT 13
