#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,64,F + 12,49,OFF 15,TD,BK -11,
11,58,22,OFF 10,6,6,21,
12,OB,F + 12,23*,-1,OFF 15,20,
14,53,21,46,OFF 15,26,19,
15,60,OFF 15,43,2,24,25,
16,75,54,DEF 5,1,10,16,
17,52,10,26*,,,25,
18,58,41,36,3,,29,
19,57,39,31,11,2,25,
20,59,F + 12,22*,10,6,23,
21,75,23,51,F,DEF 15,25,
22,OB,25,DEF 5X,-1,29,18,
23,64,16,47,OFF 15,24,17,
24,74,14,40,5,70,35,
25,61,15,39,12,31,16,
26,69,20,42,30,26,DEF 5X,
27,67,12,33,8,OFF 15,32,
28,72,52,30,15,F,22,
29,64,35,32,16,,30,
30,66,19,45,11,22,24,
31,70,OFF 15,56,8,25,OFF 5,
32,71,32,34,13,3,34,
33,62,11,OFF 5,OFF 15,,26,
34,65,17,37,,15,33,
35,75,OFF 15,38,,,16,
36,63,28,41,9,20,35,
37,73,27,53,10,27,17,
38,68,18,35,16,OFF 15,BK -12,
39,57,30,44,13,12,OFF 10,
