,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,W      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,
,A,1,1,1,,(1),,,,,,special team,64,31,39*,10,,BK -7,10,,-4,1,1,1,,,
,,2,1,1,,,-1,,(8),,,,61,33,OFF 10,3,2,23,11,,1,1,1,1,,,
,,3,1,1,,,-3,,,,,,57,59,31*,14,,13,12,,1,1,1,1,,,
,Standard,4,,,,,,,,,,,62,32,36*,15,OFF 15,DEF 5,13,,1,1,1,1,,,
,,5,,,,,,,[TD],INT 31,,,OB,OFF 15,41,11,-1,OFF 5,14,,1,1,1,1,,,
,B,1,(1),(2),,(2),1,,,[TD],,,51,F + 20,54,OFF 15,73,DEF 5X,15,,1,1,1,1,,,
,,2,(1),(1),,,,,,,,,58,42,DEF 5X,,,35,16,,1,1,1,1,,,
,,3,(2),(1),,,,,-10,-20,-8,,75,29,32*,,,16,17,,1,1,1,1,,,
,Short Ydg,4,,,,,,QT,(22),,(11),,60,,35*,,,OFF 10,18,,1,1,1,1,,,
,,5,,,-1,,QT,,(40),INT 30,-13,,58,31,21*,,,33,19,,1,1,1,1,,,
,C,1,1,,-5,1,,,,,,,60,11,38*,,45,30,20,,1,1,1,1,,,
,,2,1,,(0),,,,,,,,59,DEF 15,DEF 5,8,13,12,21,,1,1,1,1,,,
,,3,1,,-3,,,,(5),(16),,,65,18,OFF 5,12,9,26,22,,1,1,1,1,,,
,Spread,4,,,,,,,,,,,54,26,56,DEF 15,OFF 15,29,23,,1,1,1,1,,,
,,5,,,,,INT -4,INT 9,[TD],-20,INT 6,,67,OFF 15,34*,OFF 15,8,36,24,,1,1,1,1,,,
,D,1,1,1,,,,(5),,,,,68,13,46,10,31,34,25,,1,1,1,1,,,
,,2,2,2,,,,,,,,,53,16,34*,19,18,25,26,,1,1,1,1,,,
,,3,1,1,,2,,,,,,,75,24,30*,-2,OFF 15,11,27,,1,1,1,1,,,
,Short Pass,4,,,,(8),,,-8,,,,57,17,42,16,2,29,28,,1,1,1,1,,,
,,5,,,,1,,,(33),[TD],,,60,47,33*,,,20,29,,1,1,1,1,,,
,E,1,1,1,,,,,,,,,62,22,29*,75,3,21,30,,1,1,1,1,,,
,,2,2,2,,,,,,,,,63,31,52,17,15,27,31,,1,1,1,1,,,
,,3,1,1,,1,(9),(9),(3),(11),,,71,28,44*,6,5,15,32,,1,1,1,1,,,
,Long Pass,4,,,,(9),,,,,,,66,21,31*,12,6,33,33,,1,1,1,1,,,
,,5,,,,2,,,(10),INT 32,INT 13,,73,15,32*,13,14,37,34,,1,1,1,1,,,
,F,1,(0),,,(4),7,,,QT,-7,,71,20,30*,1,23,28,35,,1,1,1,1,,,
,,2,,,,,[TD],,,,,,69,19,45,7,11,31,36,,1,1,1,1,,,
,,3,,,,,-5,QT,QT,INT 34,QT,,69,34,50,19,37,32,37,,1,1,1,1,,,
,Blitz,4,,,,9,,,INT 16,,INT 12,,71,38,43,F,DEF 15,24,38,,1,1,1,1,,,
,,5,,5,10,14,[TD],,[TD],[TD],[TD],,58,94,40*,14,48,BK - 7,39,,-4,1,1,1,,,
