1983 Seattle                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E   S/L,,,B,QT,#,Chart Designer: Dr. Thomas R. Nicely,,,,,,,,,,,
,10,B,5,2*,9,OFF 15,11,11,OFF 15,16,,,13,-2,10,,,,,,,,,,,,
,11,5,-2,5,7,15,9,13,34,QT*,,,14,,11,,,,,,,,,,,,
,12,4,9,OFF 10,5,QT,4,DEF 5X,31,F + 6,,Yardage factors: 100% / 80%,11,-4,12,,,,,,,,,,,,
,13,F,7,4,8,OFF 5,DEF 5,DEF 5,28,13,,,31,15,13,,,,,,,,,,,,
,14,4,-3,OFF 5,6,DEF 5,OFF 5,OFF 10,,,,,26,8,14,,,,,,,,,,,,
,15,4,OFF 5,5,3,F,OFF 10,OFF 5,24,,,,24,9,15,,,,,,,,,,,,
,16,7,OFF 10,-2,2,19,F + 7,,,,,,12,-14,16,,,,,,,,,,,,
,17,6,8,F,1,14,4,,36,6,,,12,18,17,,,,,,,,,,,,
,18,5,6,DEF 5X,DEF 5,10,,,PI 37,9*,,,11,-4,18,,,,,,,,,,,,
,19,DEF 15,DEF 15,14,OFF 15,-14,DEF 15,DEF 15,DEF 15,DEF 15,,,19,-10,19,,,,,,,,,,,,
,20,OFF 10,8,DEF 5,5,2,11,PI 12,DEF 5,DEF 5X,,,18,-1,20,,,,,,,,,,,,
,21,5,DEF 5,-5,3,,INT 12,15,DEF 5X,DEF 5,,Power rating: 223 ± 1,17,-6,21,,,,,,,,,,,,
,22,8,7,7,,5,7,17,OFF 5,INT 7,,,28,F - 8,22,,,,,,,,,,,,
,23,-2,4,3,-2,13,10,16,OFF 10,,,,10,F - 11,23,,,,,,,,,,,,
,24,3,7,5*,-4,11*,10,19,QT,18,,,14,-7,24,,,,,,,,,,,,
,25,6,3,8,-1,12*,6,,QT,7,,,16,-3,25,,,,,,,,,,,,
,26,5,B,-3,1,1,12,13,INT 36,4,,,15,11,26,Fumble Recovered 10-27; Lost Ball 28-39,,,,,,,,,,,
,27,1,5, -1*,4,17,7,14,20,20,,,11,2,27,,,,,,,,,,,,
,28,4,F,9*,OFF 10,3,13,F + 11,TD,2*,,,18,17,28,,,,,,,,,,,,
,29,2,4,6,F,34,PI 6,10,50,32,,,11,-24,29,,,,,,,,,,,,
,30,7,-1,9,5,7*,6,15,21,26,,,23,-13,30,,,,,,,,,,,,
,31,DEF 5,9,,-1, -5*,8,17,22*,,,,13,-12,31,,,,,,,,,,,,
,32,OFF 5,8,5,,8,10,15,,,,,26,-10,32,,,,,,,,,,,,
,33,,3,B,4,9*,9,,,11,,,23,-9,33,,,,,,,,,,,,
,34,5,5,-4,B,,,QT,,,,,12,-8,34,,,,,,,,,,,,
,35,4,,1*,9,,QT,,,,,,10,F - 4,35,,,,,,,,,,,,
