#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,1,1,,(1),,,,BLACK,
A-2,A,2,1,1,,,-1,,(8),,
A-3,A,3,1,1,,,-3,,BLACK,,
A-4,A,4,,,,,,,,,
A-5,A,5,,,,,,,(TD),INT 31,
B-1,B,1,(1),(2),,(2),1,,,(TD),
B-2,B,2,(1),(1),,,,,,,
B-3,B,3,(2),(1),,,,,-10,-20,-8
B-4,B,4,,,,,,QT,(22),,(11)
B-5,B,5,,,-1,,QT,,(40),INT 30,-13
C-1,C,1,1,,-5,1,,,,,BLACK
C-2,C,2,1,,(0),,,,,,
C-3,C,3,1,,-3,,,BLACK,(5),(16),
C-4,C,4,,,,,,,,,
C-5,C,5,,,,,INT -4,INT 9,(TD),-20,INT 6
D-1,D,1,1,1,,,,(5),,BLACK,
D-2,D,2,2,2,,,,,,,
D-3,D,3,1,1,,2,,BLACK,BLACK,,BLACK
D-4,D,4,,,,(8),,,-8,,
D-5,D,5,,,,1,,,(33),(TD),
E-1,E,1,1,1,,,,,,BLACK,
E-2,E,2,2,2,,,,,,BLACK,
E-3,E,3,1,1,,1,(9),(9),(3),(11),
E-4,E,4,,,,(9),,,,,
E-5,E,5,,,,2,,,(10),INT 32,INT 13
F-1,F,1,(0),,,(4),7,,,QT,-7
F-2,F,2,,,,,(TD),,,,
F-3,F,3,,,,,-5,QT,QT,INT 34,QT
F-4,F,4,,,,9,,,INT 16,,INT 12
F-5,F,5,,5,10,14,(TD),,(TD),(TD),(TD)
