#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,64,31,39*,10,,BK -7,NG
11,61,33,OFF 10,3,2,23,
12,57,59,31*,14,,13,
13,62,32,36*,15,OFF 15,DEF 5,
14,OB,OFF 15,35,4,2,26,
15,63,16,42,8,22,17,
16,74,38,40,16,34,5,
17,61,24,39,19,1,10,
18,58,33,OFF 10,81,31,29,
19,56,12,46,12,24,37,NG
20,56,32,31*,5,18,32,
21,64,25,45,DEF 15,15,37,
22,OB,16,OFF 5,8,24,18,
23,61,26,41,2,31,31,
24,57,27,40,,2,21,
25,63,15,43,F,4,30,
26,53,19,38*,15,6,OFF 5,
27,66,24,39,19,1,10,
28,58,33,OFF 10,81,31,29,
29,59,DEF 15,47,,13,27,
30,58,15,42,14,,13,
31,51,21,DEF 5X,11,8,36,
32,55,28,43*,6,70,20,
33,50,OFF 15,42,,3,28,
34,60,17,40*,13,4,15,
35,64,18,41*,12,13,36,
36,52,25,53,7,,23,
37,54,22,44,23,2,26,
38,56,24,38*,F + 5,6,16,
39,54,23,BK -24,,33,
