,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,W      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,
,A,1,,,,(0),,-5,-8,,-6,special team,DEF 5,13,DEF 5X,18,F,OFF 10,10,,1,1,1,1,,,
,,2,,,,(0),,,,-15,,,61,12,OFF 5,19,1,14,11,,1,1,1,1,,,
,,3,,,,(0),,,,-17,,,63,16,OFF 10,14,9,16,12,,1,1,1,1,,,
,Standard,4,(0),(0),(0),,QT,,,INT 28,,,67,24,27*,DEF 15,32,DEF 5,13,,1,1,1,1,,,
,,5,(0),(0),(0),,(-1),INT 7,INT 10,,INT 18,,64,17,39*,22,16,BK -8,14,,-4,1,1,1,,,
,B,1,(0),(0),,(0),,,,,,,65,35,40*,57,24,18,15,,1,1,1,1,,,
,,2,(0),(0),,,,,,,,,62,21,31*,12,11,17,16,,1,1,1,1,,,
,,3,(0),(0),(0),,,,,,,,65,14,35*,10,,15,17,,1,1,1,1,,,
,Short Ydg,4,,,,,,,,[TD],,,70,10,58,8,2,21,18,,1,1,1,1,,,
,,5,,,,,-10,,(11),,,,73,13,45,6,TD,DEF 5X,19,,1,1,1,1,,,
,C,1,,,(0),,,-5,-9,-18,,,52,18,33,,,22,20,,1,1,1,1,,,
,,2,,(0),(0),,,-5,,,-7,,54,29,36*,,47,30,21,,1,1,1,1,,,
,,3,,,(0),,,,,-17,-7,,60,6,OFF 5,13,,24,22,,1,1,1,1,,,
,Spread,4,,,,,,INT 11,,-20,QT,,61,25,48*,OFF 15,,9,23,,1,1,1,1,,,
,,5,,,,,(-2),INT 7,-7,,INT 4,,60,19,38*,2,7,12,24,,1,1,1,1,,,
,D,1,,,,,,,-10,,-5,,60,27,51,1,5,25,25,,1,1,1,1,,,
,,2,,,,,,,-10,-16,,,55,22,42*,22,,27,26,,1,1,1,1,,,
,,3,,,,1,,,-10,-20,,,53,26,37*,,21,20,27,,1,1,1,1,,,
,Short Pass,4,,,,1,,,INT 17,INT 25,,,51,20,32*,,38,29,28,,1,1,1,1,,,
,,5,,,(3),1,INT -3,,INT 13,,INT 8,,50,11,9*,,DEF 15,DEF 15,29,,1,1,1,1,,,
,E,1,1,1,,2,,,,-20,,,55,28,DEF 5,7,TD,23,30,,1,1,1,1,,,
,,2,1,1,,2,,,,,,,56,DEF 15,49,6,25,OFF 5,31,,1,1,1,1,,,
,,3,1,1,,2,,,,,,,57,F + 19,39,5,,28,32,,1,1,1,1,,,
,Long Pass,4,1,1,,2,,,,INT 22,,,OB,20,43,17,17,31,33,,1,1,1,1,,,
,,5,1,1,,2,-10,(7),INT 14,INT 45,,,59,OFF 15,44,-1,31,32,34,,1,1,1,1,,,
,F,1,(0),,,(0),10,,QT,QT,,,47,9,45,9,34,32,35,,1,1,1,1,,,
,,2,,(0),,,7,,,QT,QT,,59,21,46,F - 3,,27,36,,1,1,1,1,,,
,,3,,,(0),,(43),QT,,9,,,58,32,41,4,OFF 15,26,37,,1,1,1,1,,,
,Blitz,4,,,,,,,,QT,,,57,15,38*,7,70,BK -16,38,,-4,1,1,1,,,
,,5,-2,-3,-7,-5,,[TD],QT,QT,,,56,23,55,3,-1,19,39,,1,1,1,1,,,
,"Record: 10-6-0, Finished 1st in AFC Central Division…. L 14-10 vs Denver Broncos; W 25-21 at Green Bay Packers; W 40-28 at Houston Oilers; L 28-23 vs New England Patriots; W 17-10 vs Houston Oilers; W 24-14 at Cincinnati Bengals; W 44-17 vs Cleveland Browns; W 27-21 at Seattle Seahawks; W 17-12 vs Tampa Bay Buccaneers;  W 26-3 vs San Diego Chargers; W 24-13 at Baltimore Colts; L 17-14 vs Minnesota Vikings; L 45-3 at Detroit Lions; L 23-10 vs Cincinnati Bengals; W 34-7 at New York Jets;  L 30-17 at Cleveland Browns; Post Season Divisional Playoffs  Jan 1 L 38-10 at Los Angeles Raiders.  
",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,
