#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,OFF 10,8,DEF 5X,OFF 10,23,OFF 15,12,DEF 15,OFF 10,10,F - 19,R
11,8,-1,8,2,QT,DEF 5X,OFF 5,52,DEF 5,21,15,R
12,3,OFF 5,4,5,19,INT 9,DEF 5,OFF 5,BLACK,14,23,R
13,7,DEF 5,3,-1,OFF 5,17,INT 18,QT,BLACK,22,9,R
14,DEF 5,4,-2,OFF 5,OFF 10,9,OFF 10,QT,BLACK,25,-12,R
15,4,3,4*,7*,1,OFF 10,18,OFF 10,BLACK,15,-2,R
16,OFF 5,-3,OFF 5,DEF 5,34,DEF 5,8,DEF 5X,F + 6,12,-14,R
17,7,5,-3,4,-1,OFF 5,DEF 5X,58,DEF 5X,23,21,R
18,-3,OFF 10,DEF 15,B*,DEF 5,DEF 15,14,DEF 5,OFF 5,17,22,R
19,DEF 15,DEF 15,F - 5,DEF 15,51,PI 15,PI 19,PI 47,PI 24,20,4,R
20,4,2,DEF 5,-2,-3,6,13,INT 26,26*,12,-5,R
21,4,3,4,9,6,11,9,QT,6*,50,-10,R
22,1,-2,3,5,7,9,19,31,16*,13,F - 2,R
23,F,F - 1,F + 1,F - 1,F + 4,QT,QT,INT 33,QT,23,12,R
24,-1,1,,B,8*,6,BLACK,37,BLACK,10,-4,R
25,,B*,4,5,9*,6,BLACK,33,10,11,7,R
26,5,7,9,6,*,9,BLACK,27,13*,17,5,R
27,4,6,5,7,10,9,15,32,4,32,-6,R
28,-2,4,6,1,26,10,17,40,34*,16,-3,R
29,6,6,OFF 15,-3,OFF 15,4,14,44,INT 9,13,17,R
30,4,4,4,9,BLACK,5,10,BLACK,BLACK,22,-9,R
31,5,3,7,3,BLACK,7,11,QT,BLACK,14,8,L
32,6,4,1,4,BLACK,12,INT 12,BLACK,BLACK,12,-5,L
33,5,,4*,5,BLACK,BLACK,BLACK,BLACK,BLACK,10,4,L
34,2,5,B*,,BLACK,BLACK,BLACK,BLACK,BLACK,11,-7,L
35,3,5,-1,2,5*,QT,QT,QT,BLACK,12,3,L
36,4,5,2,4,QT*,QT,QT,QT,BLACK,11,-11,L
37,9*,6,5*,8,3,8,14,BLACK,BLACK,13,2,L
38,B,9,4,7,14,7,16,BLACK,BLACK,28,-4,L
39,8,,5,1,13,11,DEF 5,BLACK,BLACK,17,16,L
