#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,DEF 5,13,DEF 5X,18,F,OFF 10,
11,61,12,OFF 5,19,1,14,
12,63,16,OFF 10,14,9,16,NG
13,67,24,27*,DEF 15,32,DEF 5,
14,56,33,40,16,34,5,
15,61,24,39,19,1,10,
16,58,33,OFF 10,81,31,29,
17,56,12,46,12,24,37,
18,56,32,31*,5,18,32,
19,64,25,45,DEF 15,15,37,NG
20,OB,16,OFF 5,8,24,18,
21,61,26,41,2,31,31,
22,57,27,40,,2,21,
23,63,15,43,F,4,30,
24,53,19,38*,15,6,OFF 5,
25,66,24,39,19,1,10,
26,58,33,OFF 10,81,31,29,
27,59,DEF 15,47,,13,27,
28,58,15,42,14,,13,
29,51,21,DEF 5X,11,8,36,
30,55,28,43*,6,70,20,
31,50,OFF 15,42,,3,28,
32,60,17,40*,13,4,15,
33,64,18,41*,12,13,36,
34,52,25,53,7,,23,
35,54,22,44,23,2,26,
36,56,24,38*,F + 5,6,16,
37,54,23,BK -24,,33,
38,60,17,40*,13,4,15,
39,64,18,41*,12,13,36,
