Set-Label,Row,1,2,3,4,5,6,7,8,9
A-Standard,1,,,0,0,,,4,
A-Standard,2,,,-3,-3,,-5,,,
A-Standard,3,,,-3,-5,1,,,-3
A-Standard,4,-1,1,-1,-3,-10,,,,
A-Standard,5,-2,5,-2,0,-7,,INT 30,,
B-Short Ydg,1,-1,1,-1,,9,1,,,
B-Short Ydg,2,-2,2,-1,,,2,
B-Short Ydg,3,0,3,-1,-1,1,,2,
B-Short Ydg,4,0,-2,-1,-10,11,,,
B-Short Ydg,5,,,3,,,,,1,1
C-Spread,1,2,1,-12,,,,,
C-Spread,2,1,1,1,,,,21,
C-Spread,3,,3,1,,,,,5
C-Spread,4,,,,,INT 7,,,
C-Spread,5,,,,,40,QT,,
D-Short Pass,1,1,1,2,-5,,,,
D-Short Pass,2,,,,,,,,,
D-Short Pass,3,2,,,,,,,,
D-Short Pass,4,,,,,,,,-8
D-Short Pass,5,,,,,INT 16,INT 27,9
E-Long Pass,1,1,1,,-6,,,,
E-Long Pass,2,7,,,,,,,7
E-Long Pass,3,,,4,,,INT 23,,
E-Long Pass,4,,,17,-10,,-8
E-Long Pass,5,,,,,10,10,
F-Blitz,1,-2,1,-2,26,3,,,
F-Blitz,2,,-5,5,4,18,,QT,
F-Blitz,3,-1,23,-6,-5,-5,QT,QT,QT
F-Blitz,4,4,-13,1,8,7,,QT,QT
F-Blitz,5,-5,,,14,11,[TD],QT,
