#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,-2,F,OFF 5,OFF 5,*,OFF 15,PI 14,68,PI 8,15,-2,R
11,DEF 5,5,DEF 5,-2,29,DEF 5,OFF 10,OFF 10,OFF 10,10,-9,R
12,B,DEF 5,-2*,8,OFF 5,1,24,25,13*,21,-12,R
13,F,2,3,F - 2,3,DEF 5X,15,DEF 5,DEF 5,33,-3,R
14,6,3,1*,5,19,6*,19,QT*,19*,56,-8,R
15,2,7,F - 1,1,11*,11,DEF 5X,QT,14*,52,,R
16,OFF 5,OFF 5,-1,2,23,OFF 5,25*,27,9*,30,-11,R
17,-1,3*,3,9,OFF 10,OFF 10,OFF 15,OFF 15,OFF 15,14,-10,R
18,3,2,OFF 15,5,DEF 5,1,12*,OFF 15,10,12,-13,R
19,OFF 15,OFF 15,4,OFF 15,OFF 15,OFF 15,PI 18,PI 32,PI 21,11,-12,R
20,2,1,2,F - 1,17,13,14,35,QT,20,-6,R
21,1,1,3,,16,12,13,QT,DEF 5X,43,-8,R
22,DEF 5,1,OFF 5,1,25,,F + 15,QT,14,17,-8,R
23,1,2,4,2,,2,INT 18,OFF 10,13,10,-10,R
24,2,1,B,2,3,4,11,INT 28,QT,19,-9,R
25,,3,3,1,5,8,QT,-2,R,34,-7,
26,1,,,1,15,F + 10,15,QT*,1,18,-14,R
27,3,2,4,-1,10,-2,QT,QT,OFF 10,40,6,R
28,F - 2,DEF 5,5,2,4,14,PI 15,31,1,32,-5,R
29,2,DEF 15,OFF 10,DEF 15,6,16,11*,DEF 15,2,14,-1,R
30,1,1,2,DEF 5,7,4,13,,4,25,2,R
31,1,B,F,1,9,17,,,1,10,-7,R
32,2,1,1,,,,,,R,11,-10,
33,B,2,1,2,,,,,,22,-4,R
34,1,3,B,,,,,39*,,12,-2,L
35,2,1,1,B,-2,,,,,15,-3,L
36,1,2,2,1,,,,,,13,-8,L
37,3,1,-1,2,,3,,1,2,10,F - 13,L
38,2,2,3,1,2,4,,,3,16,8,L
39,1,3,1,B,QT,PI 7,1,80,OFF 5,14,-11,L
