#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,70,27,65,1,18,OFF 5,
11,61,10,32*,6,14,21,
12,63,11,58,4,11,24,
13,48,36,59,12,12,OFF 10,
14,53,13,34*,13,,18,
15,54,OFF 15,31*,17,,12,
16,62,14,50,7,10,22,
17,68,50,30*,5,15,19,
18,72,46,OFF 5,10,19,8,
19,64,16,DEF 5X,12,11,30,
20,64,42,37*,2,13,OFF 5,
22,49,20,OFF 5,,50,31,
23,OB,OFF 15,48,OFF 15,5,23,
24,52,21,37*,-1,OFF 15,25,
25,51,22,44*,,OFF 15,25,
26,55,23,47*,34,F + 8,30,
27,65,24,52,10,,28,
28,66,F + 15,25*,13,12,26,
29,67,41,F - 9,12,4,DEF 5X,
30,55,30,46,8,6,29,
31,56,17,45,23,,23,
32,57,34,38*,,2,27,
33,50,15,49,OFF 15,31,31,
34,53,14,41*,17,22,31,
35,60,16,39*,10,1,27,
36,59,12,36*,F,2,27,
37,58,25,35*,,12,29,
38,57,37,OFF 10,9,,DEF 5,
39,64,29,18*,12,11,BK -7,
