#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,5,4,F - 3,2,-10,PI 4,12,DEF 4,PI 16,16,-2,R
11,7,3,-1*,4,20,4,10,INT 38,14,43,13,R
12,1,-2,8,6,7,12,DEF 4X,36,QT,31,-6,R
13,4,OFF 4,6,2,14*,DEF 4,OFF 4,DEF 4X,15,20,2,R
14,B,F,6,1,12,5,QT,INT 30,DEF 4X,10,3,R
15,3,6,F,B,,12,18,QT*,OFF 4,9,-16,R
16,4,4,7,,3,10,5,QT,17,43,18,R
17,8,4,OFF 14,1,DEF 4X,8,14,DEF 14,4,11,16,R
18,6,6,7,DEF 4X,DEF 4,10,DEF 14,INT 24,PI 18,15,,R
19,,DEF 14,DEF 14,-3,9,1,11,PI 39,34,10,F - 9,R
20,F,1,1,3,,DEF 4X,8,OFF 4,6,20,10,R
21,,DEF 4,-5,7,F + 4,,7,17,25*,10,14,R
22,-1,5,OFF 4,5,OFF 9,11,DEF 4,PI 30,8,11,F - 5,R
23,-1,,,8,9,9,BLACK,BLACK,BLACK,5,17,R
24,2,B*,2,,5,QT,12,,14*,9,-8,R
25,3,B,5*,8,5*,11,INT 13,,3,15,-11,R
26,5,4,,OFF 4,11,OFF 9,OFF 9,,7,18,-5,R
27,DEF 4,,8,-2,OFF 4,6,16,41,,12,-12,R
28,B,,4,OFF 9,QT,OFF 4,6,34*,16,23,-3,R
29,4,-2,DEF 14,DEF 4,38,DEF 14,PI 15,INT 25,,32,-4,R
30,1,7,4,3,16,F + 8,15*,,11,14,-1,L
31,2,4,-2,,4,10,7,,DEF 4,10,-7,L
32,3,3,2*,2,1,9,10,,INT 9,16,8,L
33,*,6,,6,,8,13,,15,22,-10,L
34,,2,B,-1,2*,,BLACK,BLACK,BLACK,11,-10,L
35,4,-1,4,6,-3,9,,,12,20,-9,L
36,6,2,3,4,,6,11,,14,18,-7,L
37,4,5,7,B*,3,9,13,,OFF 9,14,6,L
38,OFF 4,8,,F,10,2,14,,12,23,-13,L
39,OFF 9,OFF 9,DEF 4,OFF 9,31,INT 7,6,OFF 9,PI 14,20,-14,L
