#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,7,6,F - 5,4,-12,PI 6,14,DEF 6,PI 20,18,-4,R
11,9,5,-3*,6,22,6,12,INT 42,16,46,15,R
12,3,-2,10,8,9,14,DEF 6X,40,QT,34,-8,R
13,6,OFF 6,8,4,16*,DEF 6,OFF 6,DEF 6X,17,22,4,R
14,B,F,8,3,14,7,QT,INT 34,DEF 6X,12,5,R
15,5,8,F,B,,14,20,QT*,OFF 6,11,-18,R
16,6,6,9,2,5,12,7,QT,19,46,20,R
17,10,6,OFF 16,3,DEF 6X,10,16,DEF 16,6,13,18,R
18,8,8,9,DEF 6X,DEF 6,12,DEF 16,INT 28,PI 20,17,-2,R
19,,DEF 16,DEF 16,-5,11,3,13,PI 43,36,12,F - 11,R
20,F,3,3,5,2,DEF 6X,10,OFF 6,8,22,12,R
21,-2,7,OFF 6,7,OFF 11,13,DEF 6,PI 34,10,13,F - 7,R
22,-1,-1,-1,,10,11,BLACK,BLACK,BLACK,19,13,R
23,4,B*,4,2,-7,QT,14,,16*,11,-10,R
24,5,B,7*,10,7*,13,INT 15,,5,17,-13,R
25,7,DEF 6,,10,-4,OFF 6,8,18,44,24,14,R
26,8,B,2,6,OFF 11,QT,OFF 6,8,37*,18,25,R
27,9,6,-4,DEF 16,DEF 6,42,DEF 16,PI 17,INT 28,34,-6,R
28,10,3,9,6,5,18,F + 10,17*,,13,16,L
29,11,4,6,-4,-2,6,12,9,,DEF 6,12,L
30,12,5,5,4*,4,3,11,12,,INT 11,18,L
31,13,7,4,B*,8,,8,,,15,-12,L
32,15,6,-3,6,8,-5,11,,,22,-11,L
33,16,8,4,5,6,-2,8,13,,20,-9,L
34,17,6,7,9,B*,5,11,15,,OFF 11,16,L
35,18,OFF 6,10,2,F,12,4,16,,14,25,L
36,19,OFF 11,OFF 11,DEF 6,OFF 11,34,INT 9,8,OFF 11,PI 16,22,L
37,20,5,8,7,3,8,10,12,,16,24,L
38,21,6,4,-2,5,6,15,14,,18,20,L
39,22,OFF 11,DEF 6,4,7,9,13,10,OFF 6,22,15,L
