,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,W      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,,,,,,
,A,1,,,,(1),,2,-7,,,special team,58,22,9*,F,,OFF 5,10,,1,1,1,1,,,,,,,,
,,2,,,,(1),,,-7,-7,,,62,23,OFF 5,12,10,24,11,,1,1,1,1,,,,,,,,
,,3,,,,0,(3),,-7,-10,,,64,40,43,5,9,16,12,,1,1,1,1,,,,,,,,
,Standard,4,,,,-3,(1),,,-10,(2),,67,20,DEF 10X,,-3,DEF 10,13,,1,1,1,1,,,,,,,,
,,5,,,,-3,,3,-7,-9,(1),,65,15,28*,50,,BK -8,14,,-4,1,1,1,,,,,,,,
,B,1,(1),(1),,-3,-3,(3),(10),,,,64,19,40,DEF 5,,DEF 10X,15,,1,1,1,1,,,,,,,,
,,2,(1),(1),,,-1,(2),(13),(11),,,62,34,42,46,,17,16,,1,1,1,1,,,,,,,,
,,3,0,0,-3,,-3,(1),(16),,,,68,21,BK -10,6,,25,17,,1,1,1,1,,,,,,,,
,Short Ydg,4,-1,-2,,(-1),-5,-3,QT,,,,72,24,22*,13,,32,18,,1,1,1,1,,,,,,,,
,,5,-1,-2,(1),,-7,-3,2,,3,,75,27,39,10,TD,DEF 5,19,,1,1,1,1,,,,,,,,
,C,1,,,(1),,(3),-3,-2,-9,(5),,55,32,27*,,12,19,20,,1,1,1,1,,,,,,,,
,,2,,,0,,(2),-2,-1,-6,(4),,57,13,45,-3,36,22,21,,1,1,1,1,,,,,,,,
,,3,,,0,,(1),-1,-3,,(3),,52,16,29*,11,8,13,22,,1,1,1,1,,,,,,,,
,Spread,4,,,-3,,0,INT 5,,-13,(2),,61,18,29*,OFF 5,43,18,23,,1,1,1,1,,,,,,,,
,,5,,,-8,,,0,-4,-3,(1),,51,12,36,4,OFF 5,28,24,,1,1,1,1,,,,,,,,
,D,1,,,,,,0,-2,,-3,,64,F + 7,38,9,21,20,25,,1,1,1,1,,,,,,,,
,,2,,,,,,0,-2,-12,0,,58,OFF 5,26,10,52,22,26,,1,1,1,1,,,,,,,,
,,3,2,,,2,-3,-1,,-8,-1,,56,OFF 5,38,38,,31,27,,1,1,1,1,,,,,,,,
,Short Pass,4,,,,,-1,0,-6,-9,INT 8,,54,DEF 5,26*,,22,33,28,,1,1,1,1,,,,,,,,
,,5,,,,,-3,-3,-6,-7,-5,,53,25,24*,3,,OFF 10,29,,1,1,1,1,,,,,,,,
,E,1,2,2,,2,,4,,-12,,,55,14,55,,,15,30,,1,1,1,1,,,,,,,,
,,2,,,,,,,,,,,OB,10,OFF 10,6,55,12,31,,1,1,1,1,,,,,,,,
,,3,,,,,,,,-17,0,,58,9,33*,,14,22,32,,1,1,1,1,,,,,,,,
,Long Pass,4,,,,,,,INT 14,INT 26,,,59,11,35*,9,18,22,33,,1,1,1,1,,,,,,,,
,,5,,,,,,,INT 7,INT 35,-5,,50,20,34,8,6,22,34,,1,1,1,1,,,,,,,,
,F,1,-3,,3,,(14),10,,QT,,,61,18,32,7,4,30,35,,1,1,1,1,,,,,,,,
,,2,,-3,,-3,(10),,,QT,,,60,17,32*,3,7,27,36,,1,1,1,1,,,,,,,,
,,3,,,-3,,(TD),QT,QT,QT,QT,,59,16,30,4,32,26,37,,1,1,1,1,,,,,,,,
,Blitz,4,,,,,INT 0,,INT 14,-16,,,58,27,DEF 10,,28,21,38,,1,1,1,1,,,,,,,,
,,5,-2,-2,-9,-2,(TD),,-6,-17,,,57,28,50,,DEF 5,23,39,,1,1,1,1,,,,,,,,
,Sample team for demonstration purposes only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
