#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,70,25,35*,OFF 15,,NG,
11,52,24,25*,15,,NG,
12,60,38,28,12,2,15,
13,63,10,50,OFF 14,TD,13,NG
14,61,17,DEF 4,,25,
15,53,10,DEF 4X,22,,13,
16,66,20,30,,,OFF 14,
17,50,27,24*,,,17,
18,72,23,30*,,,19,NG
19,66,F + 38,OFF 9,,OFF 14,29,NG
20,50,12,42,DEF 14,3,OFF 4,NG
21,51,9,32,3,DEF 14,21,
22,OB,OFF 14,OFF 4,OFF 14,OFF 14,DEF 4,
23,55,38,36,9,9,13,
24,67,15,35*,,16,20,
25,49,20,38*,7,15,18,
26,59,F + 12,48,1,,10,
27,57,57,41,4,,14,
28,62,OFF 14,47,12,,DEF 4X,
29,53,24,26*,,,22,
30,52,23,40,17,,9,
31,61,29,46,,,9,
32,52,16,38,8,20,34,
33,55,22,39*,2,25,BK -4,
34,61,14,34*,6,27,4,
35,61,19,27*,6,,29,
36,61,18,33*,,18,16,
37,58,31,49,,,12,
38,56,46,32*,F,OFF 14,30,
39,61,DEF 14,57,2,,OFF 4,
