,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,W      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,,,,,,
,A,1,,,,(2),,3,-8,,,special team,55,24,8*,F,,OFF 10,10,,1,1,1,1,,,,,,,,
,,2,,,,(1),,,-8,-8,,,60,25,OFF 10,14,12,26,11,,1,1,1,1,,,,,,,,
,,3,,,,(1),(4),,-8,-11,,,62,42,45,4,10,18,12,,1,1,1,1,,,,,,,,
,Standard,4,,,,-4,(2),,,-11,(3),,65,22,DEF 5X,,-2,DEF 5,13,,1,1,1,1,,,,,,,,
,,5,,,,-4,,2,-8,-10,(2),,63,16,30*,52,,BK -10,14,,-4,1,1,1,,,,,,,,
,B,1,(2),(2),,-4,-2,(4),(11),,,,62,21,42,DEF 10,,DEF 5X,15,,1,1,1,1,,,,,,,,
,,2,(1),(1),,,-2,(3),(14),(12),,,60,36,44,48,,19,16,,1,1,1,1,,,,,,,,
,,3,(1),(1),-4,,-4,(2),(17),,,,66,23,BK -11,5,,27,17,,1,1,1,1,,,,,,,,
,Short Ydg,4,-2,-3,,(-2),-6,-4,QT,,,,70,26,24*,15,,34,18,,1,1,1,1,,,,,,,,
,,5,-2,-3,(2),,-8,-4,3,,2,,73,29,41,11,TD,DEF 10,19,,1,1,1,1,,,,,,,,
,C,1,,,(2),,(4),-4,-3,-10,(6),,53,34,29*,,14,21,20,,1,1,1,1,,,,,,,,
,,2,,,(1),,(3),-3,-2,-7,(5),,55,14,47,-2,38,24,21,,1,1,1,1,,,,,,,,
,,3,,,(1),,(2),-2,-4,,(4),,50,17,31*,12,9,15,22,,1,1,1,1,,,,,,,,
,Spread,4,,,-4,,-1,INT 6,,-14,(3),,59,19,31*,OFF 10,45,20,23,,1,1,1,1,,,,,,,,
,,5,,,-9,,,-2,-5,-4,(2),,49,13,38,5,OFF 10,30,24,,1,1,1,1,,,,,,,,
,D,1,,,,,,-2,-3,,-2,,62,F + 8,40,10,23,22,25,,1,1,1,1,,,,,,,,
,,2,,,,,,-1,-3,-13,-1,,56,OFF 10,28,11,55,24,26,,1,1,1,1,,,,,,,,
,,3,3,,,3,-2,-2,,-9,-2,,54,OFF 10,40,40,,33,27,,1,1,1,1,,,,,,,,
,Short Pass,4,,,,,-2,-1,-7,-10,INT 9,,52,DEF 10,28*,,24,35,28,,1,1,1,1,,,,,,,,
,,5,,,,,-4,-4,-7,-8,-6,,51,27,26*,4,,OFF 5,29,,1,1,1,1,,,,,,,,
,E,1,3,3,,3,,5,,-13,,,53,15,58,,,17,30,,1,1,1,1,,,,,,,,
,,2,,,,,,,,,,,OB,11,OFF 5,7,58,14,31,,1,1,1,1,,,,,,,,
,,3,,,,,,,,-18,-1,,56,10,35*,,16,24,32,,1,1,1,1,,,,,,,,
,Long Pass,4,,,,,,,INT 16,INT 28,,,57,12,37*,10,20,24,33,,1,1,1,1,,,,,,,,
,,5,,,,,,,INT 8,INT 38,-6,,48,21,36,9,5,24,34,,1,1,1,1,,,,,,,,
,F,1,-4,,4,,(16),11,,QT,,,59,20,34,8,5,32,35,,1,1,1,1,,,,,,,,
,,2,,-4,,-4,(11),,,QT,,,58,19,34*,2,8,29,36,,1,1,1,1,,,,,,,,
,,3,,,-4,,(TD),QT,QT,QT,QT,,57,18,32,3,34,28,37,,1,1,1,1,,,,,,,,
,Blitz,4,,,,,INT 0,,INT 15,-17,,,56,29,DEF 5,,30,23,38,,1,1,1,1,,,,,,,,
,,5,-3,-3,-10,-3,(TD),,-7,-18,,,55,30,52,,DEF 10,25,39,,1,1,1,1,,,,,,,,
,Sample team for demonstration purposes only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
