#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,7,6,F - 5,4,-12,PI 6,14,DEF 6,PI 20,18,-4,R
11,9,5,-3*,6,22,6,12,INT 42,16,46,15,R
12,3,-2,10,8,9,14,DEF 6X,40,QT,34,-8,R
13,6,OFF 6,8,4,16*,DEF 6,OFF 6,DEF 6X,17,22,4,R
14,B,F,8,3,14,7,QT,INT 34,DEF 6X,12,5,R
15,5,8,F,B,,14,20,QT*,OFF 6,11,-18,R
16,6,6,9,2,5,12,7,QT,19,46,20,R
17,10,6,OFF 16,3,DEF 6X,10,16,DEF 16,6,13,18,R
18,8,8,9,DEF 6X,DEF 6,12,DEF 16,INT 28,PI 20,17,-2,R
19,,DEF 16,DEF 16,-5,11,3,13,PI 43,36,12,F - 11,R
21,F,3,3,5,2,DEF 6X,10,OFF 6,8,22,12,R
22,-2,7,OFF 6,7,OFF 11,13,DEF 6,PI 34,10,13,F - 7,R
23,-1,-1,-1,,10,11,11,,7,19,13,R
24,4,B*,4,2,-7,QT,14,,16*,11,-10,R
25,5,B,7*,10,7*,13,INT 15,,5,17,-13,R
27,DEF 6,,10,-4,OFF 6,8,18,44,2,14,-14,R
28,B,2,6,OFF 11,QT,OFF 6,8,37*,18,25,-5,R
29,6,-4,DEF 16,DEF 6,42,DEF 16,PI 17,INT 28,,34,-6,R
30,3,9,6,5,18,F + 10,17*,,13,16,-3,L
31,4,6,-4,-2,6,12,9,,DEF 6,12,-9,L
32,5,5,4*,4,3,11,12,,INT 11,18,-10,L
33,7,4,B*,8,,8,,,15,-12,L
35,6,-3,6,8,-5,11,,,22,-11,L
36,8,4,5,6,-2,8,13,,20,-9,L
37,6,7,9,B*,5,11,15,,OFF 11,16,8,L
38,OFF 6,10,2,F,12,4,16,,14,25,-15,L
39,OFF 11,OFF 11,DEF 6,OFF 11,34,INT 9,8,OFF 11,PI 16,22,-16,L
