#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,74,30,32*,OFF 15,,,
11,57,29,28*,19,-1,NG,
12,65,44,33,14,4,18,
13,68,13,55,OFF 15,TD,15,
14,66,20,DEF 5,,28,
15,58,13,DEF 5X,25,,16,
16,71,23,35,,,OFF 15,
17,54,31,28*,,,20,
18,77,26,34*,,,22,NG
19,71,F + 43,OFF 11,2,OFF 15,33,NG
20,54,15,47,DEF 15,5,OFF 5,
21,55,12,37,5,DEF 15,24,
22,OB,OFF 15,OFF 5,OFF 15,OFF 15,DEF 5,
23,59,42,41,11,11,16,
24,72,18,40*,,20,23,
25,53,24,42*,9,18,21,
26,64,F + 15,53,3,2,13,
27,61,62,46,6,,17,
28,67,OFF 15,52,14,,DEF 5X,
29,57,28,30*,,,25,
30,56,27,45,19,,12,
31,66,33,51,,,11,
32,56,19,43,10,23,38,
33,59,25,44*,4,28,BK -5,
34,66,17,39*,8,30,6,
35,66,22,31*,8,,32,
36,66,21,38*,,21,19,
37,62,35,54,,,14,
38,60,51,36*,F,OFF 15,33,
39,66,DEF 15,62,4,3,OFF 5,
